Product_Name,Capacity,Category,Star_Ratings,Price,Discount,Rating,
LG,264 L,Double Door,2 Star,"₹ 31,690",29% off,4.2,
CANDY,328 L,Double Door,3 Star,"₹ 23,799",28% off,4.4,
Whirlpool,235 L,Double Door,2 Star,"₹ 32,990",29% off,4.3,
Voltas,563 L,Side by Side,N/A,"₹ 29,999",42% off,4.1,
LG,398 L,Double Door,3 Star,"₹ 38,990",24% off,4.1,
Haier,268 L,Double Door,2 Star,"₹ 32,990",32% off,4.3,
Godrej,436 L,Double Door,2 Star,"₹ 25,240",37% off,4.4,
LG,240 L,Double Door,3 Star,"₹ 24,990",28% off,4.3,
Haier,325 L,Double Door,3 Star,"₹ 23,959",31% off,4.4,
Whirlpool,300 L,Triple Door,N/A,"₹ 33,819",26% off,4.3,
Godrej,472 L,Double Door,2 Star,"₹ 23,999",25% off,4.3,
Whirlpool,270 L,Triple Door,N/A,"₹ 27,990",25% off,4.3,
LG,343 L,Double Door,3 Star,"₹ 37,490",29% off,4.3,
Whirlpool,235 L,Triple Door,N/A,"₹ 28,480",23% off,4.5,
LG,242 L,Double Door,3 Star,"₹ 26,517",29% off,4.4,
Haier,596 L,Side by Side,N/A,"₹ 60,990",42% off,4.5,
Whirlpool,236 L,Single Door,5 Star,"₹ 26,999",24% off,4.3,
Haier,602 L,Side by Side,N/A,"₹ 33,990",43% off,4.5,
Whirlpool,240 L,Triple Door,N/A,"₹ 49,990",27% off,4.3,
Whirlpool,308 L,Double Door,3 Star,"₹ 28,836",25% off,4.3,
Voltas,472 L,Side by Side,N/A,"₹ 54,990",40% off,4.2,
Whirlpool,235 L,Double Door,2 Star,"₹ 22,570",29% off,4.1,
LG,272 L,Double Door,3 Star,"₹ 24,990",30% off,4.1,
Whirlpool,235 L,Double Door,3 Star,"₹ 37,990",26% off,4.2,
Godrej,272 L,Double Door,3 Star,"₹ 1,35,999",21% off,4.4,
LG,264 L,Double Door,2 Star,"₹ 84,990",29% off,4.3,
CANDY,328 L,Double Door,3 Star,"₹ 37,000",28% off,4.3,
Godrej,472 L,Double Door,2 Star,"₹ 26,290",25% off,4.3,
Godrej,436 L,Double Door,2 Star,"₹ 33,990",37% off,4.4,
Haier,268 L,Double Door,2 Star,"₹ 27,599",32% off,4.3,
LG,398 L,Double Door,3 Star,"₹ 24,990",24% off,4.1,
Voltas,563 L,Side by Side,N/A,"₹ 49,999",42% off,4.4,
LG,240 L,Double Door,3 Star,"₹ 27,999",28% off,4.3,
Haier,325 L,Double Door,3 Star,"₹ 24,399",31% off,4.3,
Whirlpool,300 L,Triple Door,N/A,"₹ 25,990",26% off,4.1,
Whirlpool,270 L,Triple Door,N/A,"₹ 50,990",25% off,4.3,
LG,343 L,Double Door,3 Star,"₹ 50,890",29% off,4.5,
Whirlpool,235 L,Triple Door,N/A,"₹ 49,999",23% off,4.3,
LG,242 L,Double Door,3 Star,"₹ 49,990",42% off,4.5,
Haier,596 L,Side by Side,N/A,"₹ 49,990",24% off,4.3,
Whirlpool,236 L,Single Door,5 Star,"₹ 49,990",29% off,4.4,
Haier,602 L,Side by Side,N/A,"₹ 49,990",43% off,4.5,
Whirlpool,240 L,Triple Door,N/A,"₹ 49,990",27% off,4.3,
Whirlpool,308 L,Double Door,3 Star,"₹ 49,990",25% off,4.1,
Voltas,472 L,Side by Side,N/A,"₹ 49,990",40% off,4.3,
Whirlpool,235 L,Double Door,2 Star,"₹ 49,990",29% off,4.3,
LG,272 L,Double Door,3 Star,"₹ 49,990",30% off,4.2,
Whirlpool,235 L,Double Door,3 Star,"₹ 49,990",26% off,4.1,
Godrej,272 L,Double Door,3 Star,"₹ 49,990",21% off,4.2,
LG,264 L,Double Door,2 Star,"₹ 49,950",28% off,4.3,
CANDY,328 L,Double Door,3 Star,"₹ 48,990",29% off,4.4,
Godrej,472 L,Double Door,2 Star,"₹ 48,490",25% off,4.1,
Godrej,436 L,Double Door,2 Star,"₹ 47,990",31% off,4.3,
Haier,268 L,Double Door,2 Star,"₹ 47,970",37% off,4.1,
LG,398 L,Double Door,3 Star,"₹ 47,890",32% off,4.3,
Voltas,563 L,Side by Side,N/A,"₹ 47,319",28% off,4.4,
LG,240 L,Double Door,3 Star,"₹ 46,990",24% off,4.4,
Haier,325 L,Double Door,3 Star,"₹ 46,225",42% off,4.3,
Whirlpool,300 L,Triple Door,N/A,"₹ 45,999",26% off,4.3,
Whirlpool,270 L,Triple Door,N/A,"₹ 45,999",25% off,4.3,
Whirlpool,235 L,Triple Door,N/A,"₹ 45,999",29% off,4.5,
